"","Community","Gene.Symbol"
"Thnsl1",2,"Thnsl1"
"Kct2",4,"Kct2"
"Ndufb3",15,"Ndufb3"
"Mrpl39",9,"Mrpl39"
"Oxct1",32,"Oxct1"
"Erc2",11,"Erc2"
"Mrps6",10,"Mrps6"
"Me3",3,"Me3"
"Mgll",13,"Mgll"
"Sdhd",15,"Sdhd"
"Ndufb11",3,"Ndufb11"
"Gpam",4,"Gpam"
"Pisd",30,"Pisd"
"Gm20671",30,"Gm20671"
"Acsf3",3,"Acsf3"
"Etfa",2,"Etfa"
"Acot2",1,"Acot2"
"Pdhx",22,"Pdhx"
"Mrrf",4,"Mrrf"
"Mrpl41",15,"Mrpl41"
"Gm6434",15,"Gm6434"
"Ict1",3,"Ict1"
"mt-Co2",13,"mt-Co2"
"Mtco2",13,"Mtco2"
"Coq7",3,"Coq7"
"Fahd2",4,"Fahd2"
"Nln",3,"Nln"
"Tmem38a",1,"Tmem38a"
"Sardh",15,"Sardh"
"Lnpep",1,"Lnpep"
"Slc25a32",31,"Slc25a32"
"Nfu1.1",2,"Nfu1.1"
"Pkm",4,"Pkm"
"Ssbp1",1,"Ssbp1"
"Clpp",10,"Clpp"
"Mrpl24",15,"Mrpl24"
"Shmt2",15,"Shmt2"
"Uqcc1",4,"Uqcc1"
"Tmem177",10,"Tmem177"
"Lars2",15,"Lars2"
"Hhatl",1,"Hhatl"
"Ccbl2",3,"Ccbl2"
"Gstz1",3,"Gstz1"
"Mrpl28",13,"Mrpl28"
"mt-Atp6",1,"mt-Atp6"
"Mtatp6",1,"Mtatp6"
"Aldh6a1",8,"Aldh6a1"
"Gpd2",15,"Gpd2"
"Cox6b1",15,"Cox6b1"
"Mrps34",2,"Mrps34"
"Msra",2,"Msra"
"Acsl1",3,"Acsl1"
"Mrps9",11,"Mrps9"
"Slirp",15,"Slirp"
"Hsdl1",2,"Hsdl1"
"Mtfp1",3,"Mtfp1"
"Auh",10,"Auh"
"Gtpbp3",4,"Gtpbp3"
"Trnt1",23,"Trnt1"
"Mb",1,"Mb"
"Hsp90ab1",16,"Hsp90ab1"
"Hsp90aa1",16,"Hsp90aa1"
"Gpx4",16,"Gpx4"
"Mtch2",15,"Mtch2"
"Fdx1",31,"Fdx1"
"Vwa8",23,"Vwa8"
"Mrps14",2,"Mrps14"
"Isoc2a",2,"Isoc2a"
"Lyrm5",15,"Lyrm5"
"Lamc1",4,"Lamc1"
"Ndufs3",12,"Ndufs3"
"Phb",21,"Phb"
"Hsd17b4",13,"Hsd17b4"
"Pyurf",31,"Pyurf"
"Ptcd3",15,"Ptcd3"
"Ghitm",15,"Ghitm"
"Ryr2",1,"Ryr2"
"Lias",21,"Lias"
"Letm1",4,"Letm1"
"Kars",11,"Kars"
"Fam169b",6,"Fam169b"
"Hagh",10,"Hagh"
"Slc30a9",4,"Slc30a9"
"Atp5s",10,"Atp5s"
"Tst",1,"Tst"
"Pld1",10,"Pld1"
"Bckdhb",2,"Bckdhb"
"Cbr1",4,"Cbr1"
"Mrps27",15,"Mrps27"
"Atp5e",15,"Atp5e"
"Hspa5",1,"Hspa5"
"Ptcd2",1,"Ptcd2"
"Acad12",4,"Acad12"
"Pmpcb",15,"Pmpcb"
"Alb",13,"Alb"
"Atp2a2",1,"Atp2a2"
"Atp2a1",1,"Atp2a1"
"Cox6a1",15,"Cox6a1"
"Anxa6",1,"Anxa6"
"Kpna6",10,"Kpna6"
"Pet100",1,"Pet100"
"Elac2",15,"Elac2"
"Vwa8.1",4,"Vwa8.1"
"Aldh7a1",13,"Aldh7a1"
"Atp1a2",1,"Atp1a2"
"Atp1a3",1,"Atp1a3"
"Cacna2d1",1,"Cacna2d1"
"Hsp90b1",1,"Hsp90b1"
"Atp5f1",1,"Atp5f1"
"Mmab",4,"Mmab"
"Mcur1",1,"Mcur1"
"Abcb8",10,"Abcb8"
"Mrps35",10,"Mrps35"
"Acads",16,"Acads"
"Mrps22",11,"Mrps22"
"Mrps2",30,"Mrps2"
"Idh3b",4,"Idh3b"
"Mmaa",10,"Mmaa"
"mt-Cytb",8,"mt-Cytb"
"Mt-Cyb",8,"Mt-Cyb"
"Hsd17b8",10,"Hsd17b8"
"H2-Ke6",10,"H2-Ke6"
"Nfs1",11,"Nfs1"
"Pdk4",15,"Pdk4"
"Eno3",15,"Eno3"
"Phb2",2,"Phb2"
"Olfr569",2,"Olfr569"
"Olfr582",2,"Olfr582"
"Hscb",3,"Hscb"
"Pdhb",3,"Pdhb"
"Actb",13,"Actb"
"Actg1",13,"Actg1"
