Gene.Symbol,minuslog_pval,qval,log2FC
Slc5a8,0.85820552,0.00000000,-0.60354418
Rmdn3,3.44979344,0.00000000,-0.60351826
Pxmp4,1.86205015,0.00000000,-0.60186958
Gnai2,0.58693283,0.00000000,-0.59764914
Carkd,2.94901834,0.00000000,-0.59567558
Apoh,0.48641218,0.00000000,-0.59555025
Arl3,1.32759575,0.00270270,-0.59308347
Timm23,2.21521801,0.00000000,-0.58939109
Myl6,0.94842012,0.00000000,-0.58875158
Acsl4,0.96862263,0.00000000,-0.58754032
Coa7,0.83835799,0.00000000,-0.58711537
Timm8a1,0.81473507,0.00000000,-0.58695128
Anxa2,0.81399757,0.00000000,-0.58538892
Mtif2,1.92732585,0.00000000,-0.58509578
Rab24,3.04047212,0.00000000,-0.58346691
Tfam,2.67644979,0.00000000,-0.58258296
Mrpl15,3.93120672,0.00000000,-0.57903123
Gstk1,1.54244519,0.00000000,-0.57756796
Parl,2.01315560,0.00000000,-0.57383091
Ptar1,0.85766872,0.00848560,-0.57289384
Bola3,1.11162998,0.00000000,-0.57279019
Ndufa12,2.67060068,0.00000000,-0.57236649
Vwa8,2.42193555,0.00000000,-0.57190609
Nt5m,0.70269046,0.00000000,-0.57097938
Ca2,0.50834898,0.00000000,-0.56467640
Htra2,1.37990628,0.00000000,-0.56302936
Ftsj2,0.62723104,0.00000000,-0.56103080
Aqp7,0.57631708,0.00000000,-0.56056889
Pafah2,2.39896727,0.00000000,-0.55933193
Rdh14,3.16230745,0.00000000,-0.54703801
Gfer,1.37794269,0.00000000,-0.54210878
Ech1,1.87972429,0.00000000,-0.53641616
Sfxn3,1.89683132,0.00000000,-0.53512708
Slc5a10,0.67743776,0.00000000,-0.52980120
Sdhaf2,1.61444278,0.00000000,-0.52910342
Hrsp12,1.58866405,0.00000000,-0.52843496
Rab18,2.65698083,0.00000000,-0.52711926
Fundc2,4.08120184,0.00000000,-0.52702624
Cox7a1,2.17213463,0.00000000,-0.52688641
Phb2,2.39277625,0.00000000,-0.52333767
Atp5e,1.19169332,0.00000000,-0.52133093
Arl2,1.82024642,0.00000000,-0.51869846
Acp6,1.01218667,0.00000000,-0.51571193
Cacng6,0.56813717,1.00000000,-0.51557660
Cd9,0.29550644,0.00000000,-0.51515759
Keg1,2.29165445,0.00000000,-0.51378233
Rab1,1.48229081,0.00000000,-0.50867078
Nudt19,2.25186637,0.00000000,-0.50777971
Hsdl1,1.38412251,0.00000000,-0.50540245
Fahd2,2.09188926,0.00000000,-0.50357620
Gpd1,2.36041629,0.00000000,-0.49770300
Ass1;Gm5424,1.29918518,0.00000000,-0.49585539
Dhrs7b,1.50401697,0.00000000,-0.49402653
Eef2,1.38241729,0.00000000,-0.49524788
Reg3g,0.38711037,0.00000000,-0.49027863
Sugct,1.51770491,0.00000000,-0.48893612
Cars2,1.50542547,0.00000000,-0.48799497
Try10,0.50829286,1.00000000,-0.48784938
Mgst3,1.10150331,0.00000000,-0.48582315
Acat1,2.74918223,0.00000000,-0.48452839
Ndufa7,1.19997039,0.00000000,-0.48261831
Prdx1,3.54969354,0.00000000,-0.48117177
Sgms2,0.66612872,0.00403500,-0.48036181
Cox20,3.18882149,0.00000000,-0.48016860
Lias,1.80196114,0.00000000,-0.47846172
Fh,1.68587351,0.00000000,-0.47769582
Nt5c2,0.78638935,0.00000000,-0.47695102
Ldha,1.34468273,0.00000000,-0.47634723
Hax1,1.34661601,0.00000000,-0.47426690
0610011F06Rik,2.14157597,0.00000000,-0.46900139
Fam210b,2.69377134,0.00000000,-0.46855985
Cfl1,0.60851475,0.00000000,-0.46642271
Cbr2,0.77386812,0.00000000,-0.46559749
Arl6,1.02265745,0.00000000,-0.46325148
Iyd,1.14228691,0.00000000,-0.46308025
Entpd5,1.48843176,0.00000000,-0.46190153
Krt76,0.64479058,0.00204080,-0.46174288
Metap1d,1.68854603,0.00000000,-0.46160187
Mrps5,2.07489604,0.00000000,-0.46148377
Rdh9;Rdh16;Gm28046,0.35635077,0.00000000,-0.46103676
Pxmp2,1.12782896,0.00000000,-0.46099556
Tomm20,2.62412415,0.00000000,-0.45445626
Ctsz,0.25921953,0.00000000,-0.45316947
Pipox,1.33693314,0.00000000,-0.45313686
Sfxn2,1.49733902,0.00000000,-0.45245986
Cmbl,0.72966284,0.00000000,-0.45000307
Fabp4,0.41433307,0.00000000,-0.44647566
Rtn3,1.34194911,0.00000000,-0.44448603
Ca5b,1.82069164,0.00000000,-0.44140032
Abhd11,1.21020342,0.00000000,-0.44113307
Fars2,1.03668215,0.00000000,-0.43944556
Lonp2,3.24777056,0.00000000,-0.43706097
Rpl24;Gm17430,0.66804866,0.00136240,-0.43557940
Pdss2,1.94309506,0.00000000,-0.43205538
Tfb1m,2.85759085,0.00000000,-0.43105373
Opa3,1.31243585,0.00000000,-0.43093623
Uqcc1,1.04928757,0.00000000,-0.43047716
Clybl,2.39208177,0.00000000,-0.42990512
Got2,2.51805230,0.00000000,-0.42963976
Txnrd3,1.07084398,0.00000000,-0.42826320
Slc25a22,1.87117088,0.00000000,-0.42756379
Glrx5,1.97777828,0.00000000,-0.42539320
Ptcd3,1.63316852,0.00000000,-0.42425336
Me3,0.66080696,0.00000000,-0.42083296
Atp5o,3.29171381,0.00000000,-0.41957581
Oxct1,2.30792969,0.00000000,-0.41883274
D10Jhu81e,1.32647296,0.00000000,-0.41803857
Calb1,1.35618747,0.00000000,-0.41760833
Ptges2,1.59093713,0.00000000,-0.41708577
Nt5dc2,0.28182384,0.00000000,-0.41491617
Glyat,1.26874335,0.00000000,-0.41355706
Cpt1b,0.92195600,0.00000000,-0.41208937
Mthfs,1.19343372,0.00000000,-0.40854677
Nr1h2,0.61586942,1.00000000,-0.40598501
Hddc2,1.24835010,0.00000000,-0.40547215
Coq3,2.09210605,0.00000000,-0.40422466
Idh3b,2.34732379,0.00000000,-0.40359822
Cox4i1,1.29665778,0.00000000,-0.40229875
Mrpl45,1.13112487,0.00000000,-0.40213808
Hadh,1.43331467,0.00000000,-0.40032201
Pdf,3.53811330,0.00000000,-0.39907777
Lyz2,0.89944671,0.00000000,-0.39854434
Rab1A,2.08502414,0.00000000,-0.39794632
Mto1,1.39089598,0.00000000,-0.39761683
Acad12,1.55623392,0.00000000,-0.39717993
Sdr39u1,1.28940535,0.00000000,-0.39574609
Ndufa9,1.70210933,0.00000000,-0.39454546
Zadh2,2.46731633,0.00000000,-0.39301796
Ubxn4,0.49013859,0.00000000,-0.39198282
Selo,0.67435940,0.00000000,-0.39191495
Mut,2.15164137,0.00000000,-0.39024105
Tmem143,1.05790219,0.00000000,-0.38932818
Pdk1,1.43159476,0.00000000,-0.38624021
Agmat,0.40362526,0.00000000,-0.38594214
Tmem242,0.69706763,0.00000000,-0.38333281
Tmem27,0.62556064,0.00000000,-0.37968853
Cdh16,0.98216118,0.00000000,-0.37734287
Cand1,0.65364999,0.00000000,-0.37728978
Mrpl35,0.46313663,0.00000000,-0.37645820
Emc1,1.52972795,0.00000000,-0.37324186
Cyb5a,2.34401436,0.00000000,-0.37317414
Rpn2,0.97213956,0.00000000,-0.37259929
Pcbd2,1.43397831,0.00000000,-0.37155803
Smdt1,0.76748727,0.00000000,-0.37027554
Hnrnpa3;Gm8991;Gm6793;Gm9242,0.21011026,0.00000000,-0.36938447
Them4,0.94886569,0.00000000,-0.36886561
Hsd3b4,1.52086494,0.00000000,-0.36871586
Atp5b,2.00766238,0.00000000,-0.36842538
Ces1d,1.03876737,0.00000000,-0.36796305
Idh1,1.64372645,0.00000000,-0.36754560
Tmem65,0.88337310,0.00000000,-0.36663024
Rpusd3,1.05750538,0.00000000,-0.36564311
Aars2,1.17507003,0.00000000,-0.36408811
Acads,2.08846853,0.00000000,-0.36292277
Mipep,0.65150159,0.00000000,-0.36167221
Iars2,2.05192805,0.00000000,-0.36107748
mt-Co2;Mtco2,1.06542770,0.00000000,-0.35824199
Adck3,1.82155795,0.00000000,-0.35754791
Fam162a,1.30117746,0.00000000,-0.35744995
Acaa1a,1.27129030,0.00000000,-0.35636716
Mrpl16,1.00245387,0.00000000,-0.35214015
Mrpl12,1.60558996,0.00000000,-0.34757322
Adck1,0.65008119,0.00000000,-0.34669840
Ogdhl,0.63696153,0.00000000,-0.34236839
Gatm,1.24485226,0.00000000,-0.34231525
Mrpl30,0.77998300,0.00000000,-0.34221775
Aco2,1.05037055,0.00000000,-0.34133967
15-Sep,0.21691480,0.00000000,-0.34029408
Ywhaz,0.38170905,0.00000000,-0.33947907
Immt,1.63979512,0.00000000,-0.33880349
Rpl9,1.11602886,0.00000000,-0.33809785
mt-Co3,0.76482568,0.00000000,-0.33683756
Grpel2,1.58436705,0.00000000,-0.33624550
Cisd2,1.08405029,0.00000000,-0.33227173
Rpl6;Gm5428,0.46459558,0.00000000,-0.33114504
Slc30a9,1.68101325,0.00000000,-0.33082422
Ppic,0.99797246,0.00000000,-0.32862613
Pex11a,1.15003546,0.00000000,-0.32720976
Tha1,1.27459344,0.00000000,-0.32559629
Ndufs7,1.69131102,0.00000000,-0.32413151
Rhoa,0.93507120,0.00000000,-0.32311180
Cmpk1,1.26461156,0.00000000,-0.32186272
Tst,0.96164531,0.00000000,-0.31886489
Exog,0.77512829,0.00000000,-0.31854959
Sfxn1,2.87290767,0.00000000,-0.31782803
Suox,1.55795455,0.00000000,-0.31383423
Pcx;Pc,1.55182938,0.00000000,-0.31382018
Mtif3,0.67636927,0.00000000,-0.31212880
Amt,1.53127289,0.00000000,-0.30966319
Abhd16a,0.32040085,0.00000000,-0.30945425
2310061I04Rik,1.64780451,0.00000000,-0.30567140
Rab8a,1.85853164,0.00000000,-0.30470803
Slc25a11,0.88270078,0.00000000,-0.30446449
Erlin2;Erlin1,0.34716810,0.00000000,-0.30435298
Agk,1.03242839,0.00000000,-0.30405982
Tsfm,0.82024133,0.00000000,-0.29965757
Rab5a,0.46695897,0.00000000,-0.29942239
Itgb1,0.35339055,0.00000000,-0.29685766
Ado,0.45097071,0.00000000,-0.29607291
Coq4,0.59406493,0.00000000,-0.29208017
Ndufaf3,1.29637370,0.00000000,-0.29032045
Supv3l1,0.79114165,0.00000000,-0.29026561
Dnajc30,2.04471835,0.00000000,-0.28997818
Pet100,0.61832369,0.00000000,-0.28818271
Slc22a18,1.24056675,0.00000000,-0.28804666
