Gene.Symbol,qval,LFQ_KO_1,LFQ_KO_2,LFQ_KO_3,LFQ_KO_4,LFQ_WT_1,LFQ_WT_2,LFQ_WT_3,LFQ_WT-4,Ratio_KO.WT,log2FC,Ttest,minuslog_pval
Cox6c,0.00000000,440080000,535880000,736340000,630760000,672630000,6159000,403190000,438300000,1.54120395,0.62405779,0.24438989,2.03274347
Gosr2,1.00000000,55765000,267180000,233670000,253210000,245120000,962840,31293000,146670000,1.90975815,0.93338995,0.24463409,2.03130262
Ndufa9,0.00000000,943000000,951000000,736960000,1003000000,1000900000,1337600000,943270000,938990000,0.86097291,-0.21596026,0.24666883,2.01935267
AK157302;Isca1,0.00284500,3011200,1833200,1754600,0,2337400,4131300,2168200,2025300,0.61891542,-0.69218583,0.24943439,2.00326774
Glrx5,0.00000000,14119000,10920000,9816700,9900200,9568100,0,8753500,11578000,1.49687287,0.58195170,0.25012229,1.99929446
Flad1,0.00000000,1819000,2068300,1730600,1812200,1203500,820040,1863600,1978500,1.26671599,0.34109310,0.25227950,1.98690514
Ndufb4,0.00000000,654870000,515590000,406400000,388840000,464260000,1086000000,601090000,607020000,0.71263101,-0.48877283,0.25256264,1.98528688
Ndufaf2,0.00000000,12073000,11087000,22918000,26342000,16672000,8253500,12209000,13062000,1.44273007,0.52880140,0.25454985,1.97397991
Slc25a15,0.00156990,652100,949170,629230,388310,0,503840,691510,476690,1.56623645,0.64730203,0.25470066,1.97312538
Ndufv3,0.00000000,29620000,36587000,129140000,89259000,77676000,0,40428000,20395000,2.05493181,1.03909052,0.25553509,1.96840669
Dnajc4,0.00163670,29375,91149,64221,48497,93380,258190,202160,0,0.42121973,-1.24735509,0.25904824,1.94870731
Mtx2,0.00000000,201200000,212470000,253820000,248060000,245520000,584140000,334270000,216040000,0.66345645,-0.59192632,0.25956846,1.94581302
Tmem223,0.00285310,1776200,1585100,1387200,1817900,2406300,2073300,1899100,1391000,0.84512916,-0.24275626,0.26369201,1.92307423
Mtif2,0.00000000,8630600,6236000,7103600,7125900,8787100,6362600,8570800,9586800,0.87356525,-0.19501262,0.26652973,1.90763164
Mrpl38,0.00153370,1959600,1977200,2137900,2449700,1764500,3196200,2776600,2460800,0.83588119,-0.25863019,0.26715347,1.90425932
Cox7c,0.00000000,0,0,1715000,6091600,0,0,0,0,10.00000000,10.00000000,0.26779174,1.90081664
Myh7,1.00000000,1132200,0,0,4067700,0,0,0,0,10.00000000,10.00000000,0.26882211,1.89527631
Mrpl2,0.00000000,1995000,1392400,1564300,919640,1184000,3084500,1420300,2998900,0.67582214,-0.56528448,0.26896104,1.89453089
Fam162a,0.00000000,42353000,34374000,29425000,12505000,38408000,39970000,41973000,32588000,0.77584527,-0.36615913,0.27234435,1.87649614
Mrpl19,0.00000000,10409000,10946000,6886700,7055900,12282000,14455000,7009200,10843000,0.79161770,-0.33712422,0.27300621,1.87299434
