Gene.Symbol,qval,log2FC,minuslog_pval
Srpr,0.00000000,0.18514873,0.15537888
Soat2,0.00000000,0.08621170,0.15504797
Fech,0.00000000,0.05757068,0.15489494
Apoo,0.00000000,0.07441453,0.15136769
Rplp1;Gm10073,0.00000000,-0.06437868,0.15124391
0610011F06Rik,0.00000000,0.04791407,0.15092750
Cyp39a1,0.00000000,-0.10922305,0.14945868
Chchd3,0.00000000,-0.08854015,0.14752778
Rpl13a,0.00000000,0.05585081,0.14749097
,0.00000000,-0.22422157,0.14668872
Uqcc1,0.00000000,-0.08731585,0.14284329
Rps20,0.00000000,0.21675896,0.14227772
Slc25a46,0.00000000,0.03892310,0.14076364
Adhfe1,0.00000000,0.03130975,0.14066823
Gatc,0.00000000,0.11018056,0.13925660
Arsb,0.00000000,0.13785884,0.13706315
D10Jhu81e,0.00000000,-0.05460271,0.13536582
Mtfr1,0.00000000,0.09267250,0.13489068
Pex3,0.00000000,0.03768228,0.13407643
Rab5c,0.00000000,0.06764313,0.12924668
Tufm;Gm9755,0.00000000,0.03330691,0.12844698
Cstb,0.00290870,-0.22769604,0.12767886
Ptms,0.00234600,-0.09246245,0.12763101
mt-Nd3;Mtnd3,0.00000000,0.15209962,0.12619868
Arpc2,0.00000000,-0.10246905,0.12572842
Acox2,0.00000000,-0.02195767,0.12513824
Dad1,0.00000000,0.05473533,0.12476848
Acadsb,0.00000000,0.03080930,0.12472723
Sc5d,0.00521440,0.12838016,0.12085370
Grn,0.00000000,0.14673229,0.11869987
Gpt2,0.00000000,-0.02654887,0.11811744
Rhpn1,0.00628570,-0.21042206,0.11773890
Nucb1,0.00000000,-0.05047072,0.11652865
Ormdl2,0.00000000,0.05020785,0.11499461
Ostc,0.00000000,-0.16653820,0.11412016
Acadl,0.00000000,-0.02543020,0.11314397
,0.00000000,0.03840796,0.11234106
Mrpl20,0.00000000,0.06577164,0.11070985
Ddost,0.00000000,0.03270437,0.10958567
Adprhl2,0.00000000,0.09042348,0.10740630
Atp7b,0.00234470,-0.11244094,0.10606614
Iigp1,0.00000000,0.05740693,0.10220185
Cox17,0.00000000,-0.04700235,0.10192462
Mdh1,0.00000000,0.02552981,0.10097315
Acadm,0.00000000,-0.01758056,0.10093613
Gstk1,0.00000000,0.03617688,0.09986636
Rps24,0.00000000,0.11660793,0.09860133
Dnaja3,0.00000000,0.02791409,0.09829739
Cs,0.00000000,-0.00873406,0.09570910
Uqcrc2,0.00000000,-0.01839145,0.09543343
Pdp2,0.00000000,-0.01621248,0.09506658
2310061I04Rik,0.00000000,-0.07803694,0.09341261
Aldh2,0.00000000,0.01783665,0.09331318
Ces2a,0.00000000,-0.00911509,0.09215795
Mtx1,0.00000000,0.02002443,0.08842548
Mrps5,0.00000000,-0.02514382,0.08624023
Sdf2l1,0.00000000,-0.03491722,0.08542136
Romo1,0.00000000,0.03931759,0.08235383
Mthfsl,0.00520530,0.06731309,0.08228936
Lyrm5,0.00000000,0.04195750,0.08151313
Ethe1,0.00000000,-0.03280968,0.08057564
Mrrf,0.00000000,0.03622483,0.08026260
Hsd17b4,0.00000000,-0.02434254,0.07938873
Napsa,0.00953450,-0.07630394,0.07931893
Etfb,0.00000000,-0.01503537,0.07613296
Pex14,0.00000000,0.02545939,0.07567708
Manf,0.00000000,0.03755383,0.07565870
Tango2,0.00000000,0.01888235,0.07536628
Pipox,0.00000000,-0.01812752,0.07504195
Mup3,0.00000000,0.02477398,0.07457868
Cyp7a1,0.00000000,-0.03371532,0.07441025
Crat,0.00000000,-0.02671939,0.07435429
Pex11g,0.00000000,-0.06308809,0.07421019
Smim4,0.00000000,0.04212860,0.07404419
Lyz1,0.00000000,-0.08572543,0.07392130
Gm1818;Tfb2m,0.00000000,0.07703868,0.07321956
Ubxn4,0.00000000,-0.06573067,0.07273122
Hexb,0.00000000,0.10493626,0.07127832
Immp1l,0.00000000,0.04640824,0.06931336
Slc35a3,0.00632180,-0.03900232,0.06912378
Vamp8,0.00000000,0.03877100,0.06875006
Mrps28,0.00000000,-0.02735211,0.06775719
Dhrs4,0.00000000,0.03014351,0.06727235
Mdp1,0.00000000,0.04453877,0.06594873
Cox19,0.00000000,0.04591987,0.06343692
Ces3a,0.00000000,0.01759086,0.06314245
Entpd5,0.00000000,0.01644621,0.06285569
Cyp8b1,0.00000000,0.04412108,0.06152368
Ccdc147,0.00059382,0.08283625,0.06026918
Tmem109,0.00000000,0.03626591,0.05933517
Pon1,0.00000000,-0.02070282,0.05818916
Eral1,0.00000000,-0.04484624,0.05751592
2210010C04Rik,0.00059809,0.06485414,0.05731148
Ca5a,0.00000000,-0.02917516,0.05638141
Rab2a,0.00000000,-0.01234976,0.05514009
Ube2n,0.00059630,0.04603202,0.05258073
Nt5dc3,0.00000000,-0.01552414,0.05197562
Hbbt1;Hbb-bs;Hbb-b1;Hbb-b2,0.00000000,-0.03012893,0.05153310
Cmc1,0.00000000,-0.03092974,0.05151800
Ociad1,0.00000000,-0.01463470,0.05142151
Acat1,0.00000000,-0.00960144,0.05074600
Tmco1,0.00000000,0.02433731,0.04998782
Acbd5,0.00000000,0.01335127,0.04826002
Gcat,0.00000000,0.01515262,0.04760618
Cyp4a14,0.00000000,-0.02113888,0.04671508
Dnpep,0.00000000,-0.02593618,0.04669876
Ganab,0.00000000,-0.01535706,0.04663003
Mrpl40,0.00000000,0.02678242,0.04640107
ORF11;0610007P14Rik,0.00000000,-0.02015640,0.04550944
ptplad1,0.00000000,-0.01045118,0.04541931
Ywhaq,0.00950250,-0.06822376,0.04480093
Ndufa3,0.00000000,-0.02321746,0.04431234
Ghitm,0.00000000,0.01944208,0.04395330
Hadha,0.00000000,0.00917995,0.04272911
Cox7c,0.00000000,0.02409609,0.04131654
Pgap1,0.00000000,0.03940098,0.04129460
Tmbim6,0.00000000,0.01858306,0.04073843
Ppm1k,0.00000000,-0.01619045,0.04001047
Vkorc1l1,0.00000000,0.03501579,0.03965355
Gbas,0.00000000,0.03083833,0.03846306
Nubpl,0.00000000,-0.01523050,0.03729168
Eci2,0.00000000,0.01228022,0.03600656
Synj2bp,0.00000000,0.01618483,0.03565314
Glud1,0.00000000,-0.00454711,0.03490105
Ccdc160,1.00000000,0.05331549,0.03379606
Rab1A,0.00059242,-0.01598356,0.03152855
Elovl2,0.00000000,0.01910382,0.03064796
F2,0.00000000,-0.01959874,0.02954943
Mpv17l,0.00000000,0.01762917,0.02933942
Naglu,0.00000000,0.02203016,0.02867587
Ccdc134,0.00000000,0.04708448,0.02736182
Asl,0.00233920,-0.02993720,0.02682095
Vimp,0.00291040,0.04169837,0.02539394
,0.00000000,0.04628308,0.02526241
Ormdl3,0.00000000,-0.01218329,0.02316759
Emc1,0.00000000,0.01252762,0.02288336
Lpcat3,0.00000000,0.00635585,0.02063633
Nme3,0.00000000,0.01452000,0.01983860
Sep-15,0.00000000,-0.00744439,0.01921860
Ndufa12,0.00000000,0.00690040,0.01914421
Aldh9a1,0.00000000,0.00581574,0.01653934
Cp,0.00000000,0.00437599,0.01624427
Ppif,0.00000000,0.00512135,0.01543193
Alkbh7,0.00000000,-0.00811059,0.01512301
Tpi1,0.00000000,-0.00876174,0.01387480
Otc,0.00000000,-0.00288450,0.01312572
Pex11b,0.00000000,0.00613795,0.01152920
Idh3b,0.00000000,0.00304287,0.01146365
Hdhd2,0.00000000,0.00760902,0.01103776
Akr1a1,0.00000000,0.00198391,0.00801314
Scd1;Scd4;Scd3;Scd2,0.00233640,0.00459136,0.00650048
Dhrs3,0.00000000,-0.00691011,0.00623975
Mcur1,0.00000000,-0.00189582,0.00564308
Ak4,0.00000000,0.00132465,0.00494175
Fkbp2,0.00000000,0.00209209,0.00435202
Alg14,1.00000000,-0.00750561,0.00406822
4930433I11Rik,0.00000000,-5.00000000,10.00000000
Abca16,1.00000000,-5.00000000,10.00000000
Zfp105,1.00000000,-5.00000000,10.00000000
Asgr1,0.00842700,-5.00000000,10.00000000
Pdha2,1.00000000,-5.00000000,10.00000000
Hist2h2ab;H2afx,0.00000000,-5.00000000,10.00000000
