Gene.Symbol,qval,log2FC,minuslog_pval
Bnip3l,0.00000000,0.44344732,1.77481278
Tmem19,0.00233240,1.11806982,1.77472176
Ftl1;Ftl2,0.00000000,-0.87772276,1.77439357
Sgms2,0.00683370,1.53610451,1.77215370
Letm1,0.00000000,0.61333990,1.77105590
Reep6,1.00000000,-5.00000000,1.77049442
Immt,0.00000000,-1.07010790,1.76785265
Mthfd1l,0.00000000,-1.50366526,1.76623026
Asah1,0.00000000,-0.45594856,1.76156679
Apool,0.00000000,0.40197388,1.75884468
Tapbp,0.00000000,0.40403510,1.75634476
Ces3b,0.00000000,-0.57859249,1.75476951
Rpl5,0.00000000,2.25127083,1.75274694
Erp44,0.00000000,0.30492811,1.74518907
Tmem70,0.00000000,0.52297072,1.74435747
Slc25a19,0.00000000,-1.40774064,1.74187854
Pusl1,0.00000000,0.66027498,1.73813133
Dhcr7,0.00000000,0.53881224,1.73707876
Dnaja2,0.00847460,0.65604752,1.73700900
Os9,0.00000000,3.60576189,1.73637686
Pyroxd2,0.00000000,-0.24287845,1.73394521
Gm20671;Pisd,0.00000000,-0.24734946,1.73193967
Tha1,0.00000000,-0.43972930,1.72644297
Rab1b,0.00000000,-1.19539105,1.71659225
Cyp4f13,0.00627500,1.18477745,1.71348633
Ephx2,0.00000000,-0.30948019,1.70990789
Coq9,0.00000000,0.78461644,1.70987793
Qdpr,0.00000000,-0.66109481,1.70692449
Ccsmst1,0.00000000,1.33433823,1.70591559
Cox5a,0.00000000,-0.24873366,1.70372912
Fabp1,0.00000000,-0.26912237,1.70003933
Ivd,0.00000000,-0.31581881,1.69872589
Gnpat,0.00000000,-1.40557197,1.69789706
Tram1,0.00000000,0.45492189,1.69737528
Mpc2,0.00000000,-1.03978680,1.69697683
Mrpl27,0.00000000,-0.79370630,1.69548901
Guf1,0.00000000,-0.57841337,1.68936205
Rps12,0.00000000,0.94068492,1.68812603
Cmc2,0.00633640,0.93874340,1.68740398
Dtd1,0.00000000,-1.92406685,1.68642045
mt-Atp8;Mtatp8,0.00000000,-0.35714530,1.68514199
Arg1,0.00000000,0.50049701,1.68434383
Idh3a,0.00000000,0.23722217,1.68393002
Tk2,0.00000000,-2.07010167,1.68327157
Fam213b,0.00000000,-0.50788806,1.68142536
Ecsit,0.00000000,0.28666372,1.68135531
Cisd2,0.00000000,0.55203204,1.67991200
Tap2,0.00000000,3.00735920,1.67724528
Pxmp4,0.00000000,-0.58392609,1.67101230
Serpina1e,0.00000000,-0.66434344,1.66720661
Pecr,0.00000000,-0.23376662,1.66484166
Cox10,0.00000000,0.94301292,1.66446872
Arsa,0.00631820,-1.91139132,1.66053273
Tfam,0.00000000,-0.45031474,1.65776944
Aass,0.00000000,-0.40583590,1.65673494
Zbed5;Chchd2,0.00000000,0.91261726,1.65050013
Chchd4,0.00000000,0.66516350,1.64920024
Mrpl1,0.00000000,0.37178056,1.64859955
,0.00000000,0.95070260,1.64773055
1300017J02Rik;Ica,0.00000000,0.31885995,1.64701446
Ociad2,0.00000000,-0.47216162,1.64580418
Spg7,0.00000000,-0.35980114,1.64261255
Ugt3a1,0.00000000,0.47723489,1.63898177
Nudt19,0.00000000,-0.89925968,1.63819048
AK157302;Isca1,0.00000000,-0.45724288,1.63759794
Apob,0.00000000,4.85522289,1.63562722
Acad9,0.00000000,-0.19221449,1.63559183
Pmpcb,0.00000000,-0.11256600,1.63447015
Acot8,0.00000000,0.18308499,1.63445570
Ak3,0.00000000,0.25461615,1.63375516
Crot,0.00000000,-0.26969913,1.63305208
Mia3,0.00000000,3.94493750,1.62967459
Aldh18a1,0.00000000,2.25450469,1.62673392
Rmnd1,0.00000000,0.36806786,1.62433087
